SalesPersonID,TotalDue,AverageDue
284,985641.9261,25272.8699
281,8761727.2886,36205.4846
278,4840689.2515,20686.7062
275,12433502.8355,27630.0063
276,13975741.462,33434.7881
287,3110529.5797,22218.0684
279,9629926.8955,22447.382
290,1943016.4489,17825.8389
288,242093.2162,15130.826
285,11384512.9896,32714.1177
268,1513435.2384,31529.9008
282,7967768.8006,29401.3608
280,4453081.8838,46874.5461
277,13434509.5476,28402.7685
286,6083690.9556,34763.9483
289,2476530.4677,19050.2343
283,5029846.9145,26612.9466
