EmployeeID,Gender,MS,Hiredate,YearsOfService
1,M,M,1996-07-31 00:00:00,17
2,M,S,1997-02-26 00:00:00,16
3,M,M,1997-12-12 00:00:00,16
4,M,S,1998-01-05 00:00:00,15
5,M,M,1998-01-11 00:00:00,15
6,M,S,1998-01-20 00:00:00,15
10,M,S,1998-02-07 00:00:00,15
11,M,M,1998-02-24 00:00:00,15
13,M,M,1998-03-05 00:00:00,15
14,M,M,1998-03-11 00:00:00,15
15,M,S,1998-03-23 00:00:00,15
18,M,M,1998-04-18 00:00:00,15
20,M,M,1999-01-02 00:00:00,14
21,M,M,1999-01-02 00:00:00,14
22,M,S,1999-01-03 00:00:00,14
23,M,S,1999-01-03 00:00:00,14
24,M,S,1999-01-03 00:00:00,14
25,M,S,1999-01-04 00:00:00,14
26,M,M,1999-01-05 00:00:00,14
27,M,S,1999-01-05 00:00:00,14
28,M,S,1999-01-05 00:00:00,14
29,M,M,1999-01-06 00:00:00,14
31,M,S,1999-01-07 00:00:00,14
32,M,S,1999-01-08 00:00:00,14
33,M,S,1999-01-08 00:00:00,14
35,M,M,1999-01-08 00:00:00,14
37,M,S,1999-01-09 00:00:00,14
38,M,S,1999-01-09 00:00:00,14
39,M,S,1999-01-10 00:00:00,14
41,M,M,1999-01-10 00:00:00,14
43,M,M,1999-01-13 00:00:00,14
44,M,S,1999-01-13 00:00:00,14
45,M,S,1999-01-13 00:00:00,14
46,M,S,1999-01-13 00:00:00,14
47,M,S,1999-01-14 00:00:00,14
48,M,S,1999-01-15 00:00:00,14
49,M,M,1999-01-15 00:00:00,14
51,M,M,1999-01-16 00:00:00,14
52,M,S,1999-01-16 00:00:00,14
53,M,M,1999-01-16 00:00:00,14
54,M,S,1999-01-17 00:00:00,14
55,M,S,1999-01-17 00:00:00,14
56,M,S,1999-01-18 00:00:00,14
57,M,M,1999-01-18 00:00:00,14
58,M,S,1999-01-18 00:00:00,14
60,M,M,1999-01-20 00:00:00,14
62,M,M,1999-01-22 00:00:00,14
63,M,S,1999-01-23 00:00:00,14
64,M,M,1999-01-23 00:00:00,14
65,M,M,1999-01-24 00:00:00,14
67,M,S,1999-01-25 00:00:00,14
68,M,M,1999-01-25 00:00:00,14
74,M,S,1999-01-28 00:00:00,14
75,M,M,1999-01-28 00:00:00,14
76,M,M,1999-01-28 00:00:00,14
77,M,S,1999-01-29 00:00:00,14
78,M,S,1999-01-29 00:00:00,14
